species,species_lemmatized
Salsuginibacillus kocurii,salsuginibacillus kocurii
Salsuginimonas clara,Salsuginimonas clara
Samsonia erythrinae,Samsonia erythrinae
Sandaracinobacter neustonicus,Sandaracinobacter neustonicus
Sandaracinomonas limnophila,Sandaracinomonas limnophila
Sandaracinus amylolyticus,Sandaracinus amylolyticus
Sandarakinorhabdus cyanobacteriorum,Sandarakinorhabdus cyanobacteriorum
Sandarakinorhabdus limnophila,Sandarakinorhabdus limnophila
Sanguibacter antarcticus,sanguibacter antarcticus
Sanguibacter gelidistatuariae,sanguibacter gelidistatuariae
Sanguibacter inulinus,sanguibacter inulinus
Sanguibacter keddieii,sanguibacter keddieii
Sanguibacter sp.,sanguibacter sp .
Sanguibacter suarezii,sanguibacter suarezii
Sansalvadorimonas verongulae,Sansalvadorimonas verongulae
Saonia flava,Saonia flava
Saprospira grandis,Saprospira grandis
Sarcina maxima,Sarcina maxima
Sarcina sp.,sarcina sp .
Sarcina ventriculi,sarcina ventriculi
Savagea faecisuis,Savagea faecisuis
Scandinavium goeteborgense,scandinavium goeteborgense
Scardovia inopinata,Scardovia inopinata
Scardovia wiggsiae,scardovia wiggsiae
Schaalia canis,Schaalia canis
Schaalia cardiffensis,Schaalia cardiffensis
Schaalia funkei,Schaalia funkei
Schaalia georgiae,Schaalia georgiae
Schaalia hyovaginalis,Schaalia hyovaginalis
Schaalia meyeri,Schaalia meyeri
Schaalia naturae,schaalia naturae
Schaalia odontolytica,Schaalia odontolytica
Schaalia radingae,Schaalia radingae
Schaalia suimastitidis,schaalia suimastitidis
Schaalia turicensis,Schaalia turicensis
Schaalia vaccimaxillae,Schaalia vaccimaxillae
Schaedlerella arabinosiphila,Schaedlerella arabinosiphila
Schinkia azotoformans,Schinkia azotoformans
Schinkia oryziterrae,schinkia oryziterrae
Schlegelella brevitalea,schlegelella brevitalea
Schlegelella thermodepolymerans,schlegelella thermodepolymerans
Schleiferia thermophila,schleiferia thermophila
Schleiferilactobacillus harbinensis,schleiferilactobacillus harbinensis
Schleiferilactobacillus perolens,schleiferilactobacillus perolen
Schleiferilactobacillus shenzhenensis,schleiferilactobacillus shenzhenensis
Schleiferilactobacillus sp.,schleiferilactobacillus sp .
Schlesneria paludicola,Schlesneria paludicola
Schnuerera ultunensis,Schnuerera ultunensis
Schumannella luteola,Schumannella luteola
Schwartzia succinivorans,schwartzia succinivoran
Sciscionella marina,Sciscionella marina
Scopulibacillus daqui,scopulibacillus daqui
Scopulibacillus darangshiensis,Scopulibacillus darangshiensis
Scopulibacillus sp.,scopulibacillus sp .
Scrofimicrobium canadense,scrofimicrobium canadense
Sebaldella termitidis,Sebaldella termitidis
Secundilactobacillus collinoides,secundilactobacillus collinoides
Secundilactobacillus folii,secundilactobacillus folii
Secundilactobacillus kimchicus,Secundilactobacillus kimchicus
Secundilactobacillus malefermentans,secundilactobacillus malefermentans
Secundilactobacillus mixtipabuli,secundilactobacillus mixtipabuli
Secundilactobacillus odoratitofui,secundilactobacillus odoratitofui
Secundilactobacillus oryzae,secundilactobacillus oryzae
Secundilactobacillus paracollinoides,secundilactobacillus paracollinoides
Secundilactobacillus pentosiphilus,secundilactobacillus pentosiphilus
Secundilactobacillus silagei,secundilactobacillus silagei
Secundilactobacillus silagincola,secundilactobacillus silagincola
Secundilactobacillus similis,secundilactobacillus similis
Secundilactobacillus sp.,secundilactobacillus sp .
Sedimentibacter acidaminivorans,sedimentibacter acidaminivoran
Sedimentibacter hongkongensis,sedimentibacter hongkongensis
Sedimentibacter hydroxybenzoicus,sedimentibacter hydroxybenzoicus
Sedimentibacter saalensis,sedimentibacter saalensis
Sedimenticola selenatireducens,sedimenticola selenatireducens
Sedimenticola thiotaurini,Sedimenticola thiotaurini
Sedimentisphaera cyanobacteriorum,sedimentisphaera cyanobacteriorum
Sedimentisphaera salicampi,sedimentisphaera salicampi
Sedimentitalea nanhaiensis,sedimentitalea nanhaiensis
Sedimentitalea todarodis,sedimentitalea todarodis
Sediminibacillus albus,sediminibacillus albus
Sediminibacillus halophilus,sediminibacillus halophilus
Sediminibacillus terrae,sediminibacillus terrae
Sediminibacter furfurosus,sediminibacter furfurosus
Sediminibacter sp.,sediminibacter sp .
Sediminibacterium aquarii,sediminibacterium aquarii
Sediminibacterium ginsengisoli,sediminibacterium ginsengisoli
Sediminibacterium goheungense,sediminibacterium goheungense
Sediminibacterium lactis,sediminibacterium lactis
Sediminibacterium magnilacihabitans,sediminibacterium magnilacihabitans
Sediminibacterium roseum,sediminibacterium roseum
Sediminibacterium salmoneum,sediminibacterium salmoneum
Sediminibacterium sp.,sediminibacterium sp .
Sediminicola arcticus,Sediminicola arcticus
Sediminicola luteus,Sediminicola luteus
Sediminicola sp.,Sediminicola sp .
Sediminihabitans luteus,Sediminihabitans luteus
Sediminimonas qiaohouensis,Sediminimonas qiaohouensis
Sediminispirochaeta bajacaliforniensis,Sediminispirochaeta bajacaliforniensis
Sediminispirochaeta sinaica,Sediminispirochaeta sinaica
Sediminispirochaeta smaragdinae,Sediminispirochaeta smaragdinae
Sediminitomix flava,Sediminitomix flava
Sediminivirga luteola,Sediminivirga luteola
Segetibacter aerophilus,segetibacter aerophilus
Segetibacter koreensis,segetibacter koreensis
Segniliparus rotundus,Segniliparus rotundus
Segniliparus rugosus,Segniliparus rugosus
Segnochrobactrum spirostomi,segnochrobactrum spirostomi
Seinonella peptonophila,Seinonella peptonophila
Seleniivibrio woodruffii,Seleniivibrio woodruffii
Selenomonas artemidis,Selenomonas artemidis
Selenomonas bovis,Selenomonas bovis
Selenomonas dianae,Selenomonas dianae
Selenomonas flueggei,Selenomonas flueggei
Selenomonas infelix,Selenomonas infelix
Selenomonas lacticifex,Selenomonas lacticifex
Selenomonas montiformis,Selenomonas montiformis
Selenomonas noxia,Selenomonas noxia
Selenomonas ruminantium,selenomonas ruminantium
Selenomonas ruminantium subsp. lactilytica,selenomonas ruminantium subsp . lactilytica
Selenomonas sp.,Selenomonas sp .
Selenomonas sputigena,Selenomonas sputigena
Sellimonas caecigallum,Sellimonas caecigallum
Sellimonas intestinalis,Sellimonas intestinalis
Sellimonas monacensis,Sellimonas monacensis
Seminibacterium arietis,seminibacterium arietis
Senegalimassilia anaerobia,Senegalimassilia anaerobia
Seohaeicola saemankumensis,Seohaeicola saemankumensis
Seohaeicola westpacificensis,Seohaeicola westpacificensis
Seohaeicola zhoushanensis,Seohaeicola zhoushanensis
Seonamhaeicola algicola,Seonamhaeicola algicola
Seonamhaeicola marinus,Seonamhaeicola marinus
Seonamhaeicola sediminis,Seonamhaeicola sediminis
Seongchinamella sediminis,seongchinamella sediminis
Serinibacter arcticus,serinibacter arcticus
Serinibacter salmoneus,serinibacter salmoneus
Serinicoccus chungangensis,Serinicoccus chungangensis
Serinicoccus hydrothermalis,serinicoccus hydrothermalis
Serinicoccus marinus,Serinicoccus marinus
Serinicoccus profundi,Serinicoccus profundi
Serinicoccus sediminis,Serinicoccus sediminis
Serpentinicella alkaliphila,Serpentinicella alkaliphila
Serratia aquatilis,Serratia aquatilis
Serratia entomophila,Serratia entomophila
Serratia ficaria,Serratia ficaria
Serratia fonticola,Serratia fonticola
Serratia grimesii,Serratia grimesii
Serratia liquefaciens,Serratia liquefaciens
Serratia marcescens,Serratia marcescens
Serratia myotis,Serratia myotis
Serratia nematodiphila,Serratia nematodiphila
Serratia odorifera,serratia odorifera
Serratia oryzae,serratia oryzae
Serratia plymuthica,Serratia plymuthica
Serratia proteamaculans,Serratia proteamaculans
Serratia proteamaculans subsp. proteamaculans,Serratia proteamaculan subsp . proteamaculan
Serratia quinivorans,Serratia quinivorans
Serratia rubidaea,serratia rubidaea
Serratia sp.,Serratia sp .
Serratia symbiotica,Serratia symbiotica
Serratia ureilytica,Serratia ureilytica
Serratia vespertilionis,Serratia vespertilionis
Sharpea azabuensis,Sharpea azabuensis
Sharpea porci,Sharpea porci
Shewanella abyssi,Shewanella abyssi
Shewanella aestuarii,Shewanella aestuarii
Shewanella algae,shewanella algae
Shewanella algicola,Shewanella algicola
Shewanella algidipiscicola,Shewanella algidipiscicola
Shewanella amazonensis,Shewanella amazonensis
Shewanella aquimarina,Shewanella aquimarina
Shewanella atlantica,Shewanella atlantica
Shewanella baltica,Shewanella baltica
Shewanella basaltis,Shewanella basaltis
Shewanella benthica,Shewanella benthica
Shewanella canadensis,Shewanella canadensis
Shewanella carassii,Shewanella carassii
Shewanella chilikensis,Shewanella chilikensis
Shewanella colwelliana,Shewanella colwelliana
Shewanella corallii,Shewanella corallii
Shewanella decolorationis,Shewanella decolorationis
Shewanella denitrificans,Shewanella denitrificans
Shewanella dokdonensis,Shewanella dokdonensis
Shewanella donghaensis,Shewanella donghaensis
Shewanella electrodiphila,Shewanella electrodiphila
Shewanella fidelis,Shewanella fidelis
Shewanella fodinae,Shewanella fodinae
Shewanella frigidimarina,Shewanella frigidimarina
Shewanella gaetbuli,Shewanella gaetbuli
Shewanella gelidii,Shewanella gelidii
Shewanella gelidimarina,Shewanella gelidimarina
Shewanella glacialipiscicola,Shewanella glacialipiscicola
Shewanella hafniensis,Shewanella hafniensis
Shewanella halifaxensis,Shewanella halifaxensis
Shewanella hanedai,Shewanella hanedai
Shewanella indica,Shewanella indica
Shewanella intestini,Shewanella intestini
Shewanella inventionis,Shewanella inventionis
Shewanella japonica,Shewanella japonica
Shewanella kaireitica,Shewanella kaireitica
Shewanella litoralis,Shewanella litoralis
Shewanella litorisediminis,Shewanella litorisediminis
Shewanella livingstonensis,Shewanella livingstonensis
Shewanella loihica,Shewanella loihica
Shewanella mangrovi,Shewanella mangrovi
Shewanella marina,Shewanella marina
Shewanella marinintestina,Shewanella marinintestina
Shewanella marisflavi,Shewanella marisflavi
Shewanella maritima,Shewanella maritima
Shewanella morhuae,Shewanella morhuae
Shewanella olleyana,Shewanella olleyana
Shewanella oneidensis,Shewanella oneidensis
Shewanella pacifica,Shewanella pacifica
Shewanella pealeana,Shewanella pealeana
Shewanella piezotolerans,Shewanella piezotoleran
Shewanella pneumatophori,shewanella pneumatophori
Shewanella profunda,shewanella profunda
Shewanella psychromarinicola,Shewanella psychromarinicola
Shewanella psychrophila,Shewanella psychrophila
Shewanella putrefaciens,Shewanella putrefaciens
Shewanella sairae,Shewanella sairae
Shewanella saliphila,Shewanella saliphila
Shewanella schlegeliana,Shewanella schlegeliana
Shewanella sediminis,Shewanella sediminis
Shewanella seohaensis,Shewanella seohaensis
Shewanella sp.,Shewanella sp .
Shewanella surugensis,Shewanella surugensis
Shewanella ulleungensis,Shewanella ulleungensis
Shewanella upenei,Shewanella upenei
Shewanella vesiculosa,Shewanella vesiculosa
Shewanella violacea,Shewanella violacea
Shewanella waksmanii,Shewanella waksmanii
Shewanella woodyi,Shewanella woodyi
Shewanella xiamenensis,Shewanella xiamenensis
Shigella boydii,Shigella boydii
Shigella dysenteriae,Shigella dysenteriae
Shigella flexneri,Shigella flexneri
Shigella sonnei,Shigella sonnei
Shigella sp.,shigella sp .
Shimazuella alba,Shimazuella alba
Shimazuella kribbensis,Shimazuella kribbensis
Shimia abyssi,Shimia abyssi
Shimia aestuarii,Shimia aestuarii
Shimia biformata,Shimia biformata
Shimia gijangensis,Shimia gijangensis
Shimia haliotis,Shimia haliotis
Shimia isoporae,Shimia isoporae
Shimia marina,Shimia marina
Shimia sagamensis,Shimia sagamensis
Shimia thalassica,Shimia thalassica
Shimwellia blattae,Shimwellia blattae
Shimwellia pseudoproteus,shimwellia pseudoproteus
Shinella curvata,shinella curvata
Shinella daejeonensis,Shinella daejeonensis
Shinella fusca,Shinella fusca
Shinella granuli,Shinella granuli
Shinella kummerowiae,Shinella kummerowiae
Shinella pollutisoli,Shinella pollutisoli
Shinella sp.,Shinella sp .
Shinella yambaruensis,shinella yambaruensis
Shinella zoogloeoides,Shinella zoogloeoides
Shuttleworthia satelles,Shuttleworthia satelles
Siansivirga jejuensis,Siansivirga jejuensis
Siansivirga zeaxanthinifaciens,Siansivirga zeaxanthinifaciens
Siccibacter colletis,siccibacter colletis
Siccibacter turicensis,siccibacter turicensis
Siccirubricoccus deserti,Siccirubricoccus deserti
Siculibacillus lacustris,siculibacillus lacustris
Sideroxydans lithotrophicus,sideroxydan lithotrophicus
Sideroxydans paludicola,Sideroxydans paludicola
Silanimonas algicola,Silanimonas algicola
Silanimonas lenta,Silanimonas lenta
Silanimonas mangrovi,Silanimonas mangrovi
Silicimonas algicola,Silicimonas algicola
Silvanigrella aquatica,Silvanigrella aquatica
Silvanigrella paludirubra,Silvanigrella paludirubra
Silvibacterium bohemicum,silvibacterium bohemicum
Silvimonas amylolytica,Silvimonas amylolytica
Silvimonas iriomotensis,Silvimonas iriomotensis
Silvimonas sp.,Silvimonas sp .
Silvimonas terrae,Silvimonas terrae
Simiduia aestuariiviva,Simiduia aestuariiviva
Simiduia agarivorans,Simiduia agarivoran
Simiduia areninigrae,Simiduia areninigrae
Simiduia curdlanivorans,Simiduia curdlanivorans
Simiduia litorea,Simiduia litorea
Siminovitchia composti,Siminovitchia composti
Siminovitchia farraginis,Siminovitchia farraginis
Siminovitchia fordii,siminovitchia fordii
Siminovitchia fortis,Siminovitchia fortis
Siminovitchia terrae,Siminovitchia terrae
Siminovitchia thermophila,Siminovitchia thermophila
Simkania negevensis,Simkania negevensis
Simonsiella muelleri,Simonsiella muelleri
Simonsiella sp.,Simonsiella sp .
Simplicispira hankyongi,Simplicispira hankyongi
Simplicispira limi,Simplicispira limi
Simplicispira metamorpha,Simplicispira metamorpha
Simplicispira piscis,simplicispira piscis
Simplicispira psychrophila,simplicispira psychrophila
Simplicispira soli,Simplicispira soli
Simplicispira suum,simplicispira suum
Simulacricoccus ruber,Simulacricoccus ruber
Singulisphaera acidiphila,singulisphaera acidiphila
Singulisphaera rosea,Singulisphaera rosea
Sinimarinibacterium flocculans,sinimarinibacterium flocculan
Sinirhodobacter populi,sinirhodobacter populi
Sinobaca qinghaiensis,Sinobaca qinghaiensis
Sinobacterium caligoides,sinobacterium caligoides
Sinobacterium norvegicum,sinobacterium norvegicum
Sinobacterium sp.,sinobacterium sp .
Sinomicrobium oceani,sinomicrobium oceani
Sinomonas albida,Sinomonas albida
Sinomonas atrocyanea,Sinomonas atrocyanea
Sinomonas echigonensis,Sinomonas echigonensis
Sinomonas flava,Sinomonas flava
Sinomonas gamaensis,Sinomonas gamaensis
Sinomonas halotolerans,Sinomonas halotoleran
Sinomonas humi,Sinomonas humi
Sinomonas mesophila,Sinomonas mesophila
Sinomonas notoginsengisoli,Sinomonas notoginsengisoli
Sinomonas soli,Sinomonas soli
Sinomonas sp.,Sinomonas sp .
Sinomonas susongensis,Sinomonas susongensis
Sinorhizobium americanum,sinorhizobium americanum
Sinorhizobium chiapanecum,sinorhizobium chiapanecum
Sinosporangium album,Sinosporangium album
Sinosporangium siamense,sinosporangium siamense
Siphonobacter aquaeclarae,siphonobacter aquaeclarae
Siphonobacter curvatus,siphonobacter curvatus
Skermanella aerolata,Skermanella aerolata
Skermanella mucosa,skermanella mucosa
Skermanella parooensis,Skermanella parooensis
Skermanella rosea,Skermanella rosea
Skermanella rubra,Skermanella rubra
Skermanella stibiiresistens,Skermanella stibiiresistens
Skermania piniformis,Skermania piniformis
Skermania sp.,Skermania sp .
Slackia equolifaciens,Slackia equolifaciens
Slackia exigua,Slackia exigua
Slackia faecicanis,slackia faecicanis
Slackia heliotrinireducens,Slackia heliotrinireducens
Slackia isoflavoniconvertens,slackia isoflavoniconvertens
Slackia piriformis,Slackia piriformis
Slackia sp.,Slackia sp .
Smaragdicoccus niigatensis,Smaragdicoccus niigatensis
Smithella propionica,Smithella propionica
Sneathia amnii,Sneathia amnii
Sneathia sanguinegens,Sneathia sanguinegens
Sneathia vaginalis,sneathia vaginalis
Sneathiella chinensis,Sneathiella chinensis
Sneathiella chungangensis,sneathiella chungangensis
Sneathiella glossodoripedis,Sneathiella glossodoripedis
Sneathiella limimaris,Sneathiella limimaris
Snodgrassella alvi,Snodgrassella alvi
Snuella lapsa,snuella lapsa
Sodalinema stali,Sodalinema stali
Sodaliphilus pleomorphus,Sodaliphilus pleomorphus
Sodalis glossinidius,Sodalis glossinidius
Sodalis praecaptivus,Sodalis praecaptivus
Soehngenia saccharolytica,Soehngenia saccharolytica
Solibacillus cecembensis,solibacillus cecembensis
Solibacillus isronensis,solibacillus isronensis
Solibacillus kalamii,solibacillus kalamii
Solibacillus silvestris,solibacillus silvestris
Solibacter usitatus,solibacter usitatus
Solibaculum mannosilyticum,Solibaculum mannosilyticum
Solidesulfovibrio aerotolerans,solidesulfovibrio aerotoleran
Solidesulfovibrio alcoholivorans,Solidesulfovibrio alcoholivoran
Solidesulfovibrio burkinensis,solidesulfovibrio burkinensis
Solidesulfovibrio carbinolicus,Solidesulfovibrio carbinolicus
Solidesulfovibrio carbinoliphilus,Solidesulfovibrio carbinoliphilus
Solidesulfovibrio fructosivorans,Solidesulfovibrio fructosivoran
Solidesulfovibrio magneticus,solidesulfovibrio magneticus
Solidesulfovibrio marrakechensis,Solidesulfovibrio marrakechensis
Solimicrobium silvestre,solimicrobium silvestre
Solimonas aquatica,Solimonas aquatica
Solimonas flava,Solimonas flava
Solimonas fluminis,Solimonas fluminis
Solimonas soli,Solimonas soli
Solimonas sp.,Solimonas sp .
Solimonas terrae,Solimonas terrae
Solimonas variicoloris,Solimonas variicoloris
Solirubrobacter ginsenosidimutans,Solirubrobacter ginsenosidimutans
Solirubrobacter pauli,solirubrobacter pauli
Solirubrobacter phytolaccae,solirubrobacter phytolaccae
Solirubrobacter soli,Solirubrobacter soli
Solirubrobacter taibaiensis,solirubrobacter taibaiensis
Solitalea canadensis,solitalea canadensis
Solitalea koreensis,solitalea koreensis
Solitalea longa,Solitalea longa
Solobacterium moorei,solobacterium moorei
Soonwooa purpurea,Soonwooa purpurea
Soortia roseihalophila,soortia roseihalophila
Sorangium ambruticinum,sorangium ambruticinum
Sorangium arenae,Sorangium arenae
Sorangium bulgaricum,sorangium bulgaricum
Sorangium cellulosum,sorangium cellulosum
Sorangium dawidii,sorangium dawidii
Sorangium kenyense,sorangium kenyense
Sorangium orientale,sorangium orientale
Sorangium reichenbachii,sorangium reichenbachii
Sorangium sp.,sorangium sp .
Specibacter cremeus,specibacter cremeus
Spelaeicoccus albus,Spelaeicoccus albus
Sphaerimonospora cavernae,sphaerimonospora cavernae
Sphaerimonospora mesophila,sphaerimonospora mesophila
Sphaerimonospora thailandensis,sphaerimonospora thailandensis
Sphaerimonospora triticiradicis,sphaerimonospora triticiradicis
Sphaerisporangium album,sphaerisporangium album
Sphaerisporangium aureirubrum,sphaerisporangium aureirubrum
Sphaerisporangium cinnabarinum,sphaerisporangium cinnabarinum
Sphaerisporangium corydalis,sphaerisporangium corydalis
Sphaerisporangium dianthi,sphaerisporangium dianthi
Sphaerisporangium flaviroseum,sphaerisporangium flaviroseum
Sphaerisporangium krabiense,sphaerisporangium krabiense
Sphaerisporangium melleum,sphaerisporangium melleum
Sphaerisporangium rhizosphaerae,sphaerisporangium rhizosphaerae
Sphaerisporangium rubeum,sphaerisporangium rubeum
Sphaerisporangium rufum,sphaerisporangium rufum
Sphaerisporangium siamense,sphaerisporangium siamense
Sphaerisporangium viridialbum,sphaerisporangium viridialbum
Sphaerobacter thermophilus,sphaerobacter thermophilus
Sphaerochaeta associata,sphaerochaeta associata
Sphaerochaeta coccoides,sphaerochaeta coccoide
Sphaerochaeta globosa,sphaerochaeta globosa
Sphaerochaeta pleomorpha,Sphaerochaeta pleomorpha
Sphaerotilus hippei,Sphaerotilus hippei
Sphaerotilus montanus,Sphaerotilus montanus
Sphaerotilus natans,Sphaerotilus natans
Sphaerotilus natans subsp. sulfidivorans,Sphaerotilus natan subsp . sulfidivoran
Sphaerotilus sp.,sphaerotilus sp .
Sphingoaurantiacus capsulatus,Sphingoaurantiacus capsulatus
Sphingoaurantiacus polygranulatus,Sphingoaurantiacus polygranulatus
Sphingobacterium alimentarium,sphingobacterium alimentarium
Sphingobacterium alkalisoli,sphingobacterium alkalisoli
Sphingobacterium anhuiense,sphingobacterium anhuiense
Sphingobacterium athyrii,sphingobacterium athyrii
Sphingobacterium bovisgrunnientis,sphingobacterium bovisgrunnientis
Sphingobacterium caeni,sphingobacterium caeni
Sphingobacterium cellulitidis,sphingobacterium cellulitidis
Sphingobacterium changzhouense,sphingobacterium changzhouense
Sphingobacterium chuzhouense,sphingobacterium chuzhouense
Sphingobacterium cibi,sphingobacterium cibi
Sphingobacterium cladoniae,sphingobacterium cladoniae
Sphingobacterium composti,sphingobacterium composti
Sphingobacterium corticis,sphingobacterium corticis
Sphingobacterium daejeonense,sphingobacterium daejeonense
Sphingobacterium detergens,sphingobacterium detergen
Sphingobacterium endophyticum,sphingobacterium endophyticum
Sphingobacterium faecium,sphingobacterium faecium
Sphingobacterium ginsenosidimutans,sphingobacterium ginsenosidimutans
Sphingobacterium griseoflavum,sphingobacterium griseoflavum
Sphingobacterium haloxyli,sphingobacterium haloxyli
Sphingobacterium hotanense,sphingobacterium hotanense
Sphingobacterium humi,sphingobacterium humi
Sphingobacterium jejuense,sphingobacterium jejuense
Sphingobacterium kitahiroshimense,sphingobacterium kitahiroshimense
Sphingobacterium kyonggiense,sphingobacterium kyonggiense
Sphingobacterium lactis,sphingobacterium lactis
Sphingobacterium mizutaii,sphingobacterium mizutaii
Sphingobacterium mucilaginosum,sphingobacterium mucilaginosum
Sphingobacterium multivorum,sphingobacterium multivorum
Sphingobacterium nematocida,sphingobacterium nematocida
Sphingobacterium pakistanense,sphingobacterium pakistanense
Sphingobacterium populi,sphingobacterium populi
Sphingobacterium psychroaquaticum,sphingobacterium psychroaquaticum
Sphingobacterium puteale,sphingobacterium puteale
Sphingobacterium rhinocerotis,sphingobacterium rhinocerotis
Sphingobacterium shayense,sphingobacterium shayense
Sphingobacterium siyangense,sphingobacterium siyangense
Sphingobacterium solani,sphingobacterium solani
Sphingobacterium soli,sphingobacterium soli
Sphingobacterium sp.,sphingobacterium sp .
Sphingobacterium spiritivorum,sphingobacterium spiritivorum
Sphingobacterium tabacisoli,sphingobacterium tabacisoli
Sphingobacterium terrae,sphingobacterium terrae
Sphingobacterium thalpophilum,sphingobacterium thalpophilum
Sphingobacterium thermophilum,sphingobacterium thermophilum
Sphingobacterium wenxiniae,sphingobacterium wenxiniae
Sphingobacterium yamdrokense,sphingobacterium yamdrokense
Sphingobacterium yanglingense,sphingobacterium yanglingense
Sphingobacterium zeae,sphingobacterium zeae
Sphingobium abikonense,sphingobium abikonense
Sphingobium amiense,sphingobium amiense
Sphingobium aquiterrae,sphingobium aquiterrae
Sphingobium aromaticiconvertens,sphingobium aromaticiconvertens
Sphingobium aromaticivastans,sphingobium aromaticivastan
Sphingobium baderi,sphingobium baderi
Sphingobium boeckii,sphingobium boeckii
Sphingobium chlorophenolicum,sphingobium chlorophenolicum
Sphingobium chungbukense,sphingobium chungbukense
Sphingobium cloacae,sphingobium cloacae
Sphingobium cupriresistens,sphingobium cupriresisten
Sphingobium faniae,sphingobium faniae
Sphingobium fontiphilum,sphingobium fontiphilum
Sphingobium fuliginis,sphingobium fuliginis
Sphingobium herbicidovorans,sphingobium herbicidovoran
Sphingobium indicum,sphingobium indicum
Sphingobium jiangsuense,sphingobium jiangsuense
Sphingobium lactosutens,sphingobium lactosuten
Sphingobium limneticum,sphingobium limneticum
Sphingobium mellinum,sphingobium mellinum
Sphingobium naphthae,sphingobium naphthae
Sphingobium olei,sphingobium olei
Sphingobium qiguonii,sphingobium qiguonii
Sphingobium quisquiliarum,sphingobium quisquiliarum
Sphingobium rhizovicinum,sphingobium rhizovicinum
Sphingobium scionense,sphingobium scionense
Sphingobium sp.,sphingobium sp .
Sphingobium subterraneum,sphingobium subterraneum
Sphingobium sufflavum,sphingobium sufflavum
Sphingobium terrigena,sphingobium terrigena
Sphingobium ummariense,sphingobium ummariense
Sphingobium vermicomposti,sphingobium vermicomposti
Sphingobium vulgare,sphingobium vulgare
Sphingobium wenxiniae,sphingobium wenxiniae
Sphingobium xanthum,sphingobium xanthum
Sphingobium xenophagum,sphingobium xenophagum
Sphingobium yanoikuyae,sphingobium yanoikuyae
Sphingomicrobium arenosum,sphingomicrobium arenosum
Sphingomicrobium astaxanthinifaciens,sphingomicrobium astaxanthinifaciens
Sphingomicrobium flavum,sphingomicrobium flavum
Sphingomicrobium lutaoense,sphingomicrobium lutaoense
Sphingomicrobium marinum,sphingomicrobium marinum
Sphingomonas abaci,Sphingomonas abaci
Sphingomonas adhaesiva,Sphingomonas adhaesiva
Sphingomonas aeria,Sphingomonas aeria
Sphingomonas aerolata,sphingomonas aerolata
Sphingomonas aerophila,sphingomonas aerophila
Sphingomonas aestuarii,Sphingomonas aestuarii
Sphingomonas agri,Sphingomonas agri
Sphingomonas aliaeris,Sphingomonas aliaeris
Sphingomonas alpina,Sphingomonas alpina
Sphingomonas antarctica,Sphingomonas antarctica
Sphingomonas aquatica,sphingomonas aquatica
Sphingomonas aquatilis,sphingomonas aquatilis
Sphingomonas aracearum,sphingomonas aracearum
Sphingomonas arantia,Sphingomonas arantia
Sphingomonas asaccharolytica,Sphingomonas asaccharolytica
Sphingomonas astaxanthinifaciens,Sphingomonas astaxanthinifaciens
Sphingomonas aurantiaca,sphingomonas aurantiaca
Sphingomonas azotifigens,sphingomonas azotifigens
Sphingomonas canadensis,sphingomonas canadensis
Sphingomonas carotinifaciens,Sphingomonas carotinifaciens
Sphingomonas carri,Sphingomonas carri
Sphingomonas changbaiensis,Sphingomonas changbaiensis
Sphingomonas changnyeongensis,Sphingomonas changnyeongensis
Sphingomonas colocasiae,Sphingomonas colocasiae
Sphingomonas crocodyli,sphingomonas crocodyli
Sphingomonas crusticola,sphingomonas crusticola
Sphingomonas cynarae,Sphingomonas cynarae
Sphingomonas daechungensis,Sphingomonas daechungensis
Sphingomonas desiccabilis,sphingomonas desiccabilis
Sphingomonas difficilis,sphingomonas difficilis
Sphingomonas dokdonensis,Sphingomonas dokdonensis
Sphingomonas echinoides,sphingomonas echinoides
Sphingomonas edaphi,Sphingomonas edaphi
Sphingomonas endophytica,sphingomonas endophytica
Sphingomonas faeni,Sphingomonas faeni
Sphingomonas faucium,sphingomonas faucium
Sphingomonas fennica,Sphingomonas fennica
Sphingomonas flavalba,sphingomonas flavalba
Sphingomonas formosensis,sphingomonas formosensis
Sphingomonas frigidaeris,Sphingomonas frigidaeris
Sphingomonas gellani,sphingomonas gellani
Sphingomonas gilva,Sphingomonas gilva
Sphingomonas gimensis,sphingomonas gimensis
Sphingomonas ginkgonis,sphingomonas ginkgonis
Sphingomonas ginsengisoli,Sphingomonas ginsengisoli
Sphingomonas ginsenosidimutans,Sphingomonas ginsenosidimutans
Sphingomonas ginsenosidivorax,Sphingomonas ginsenosidivorax
Sphingomonas glacialis,sphingomonas glacialis
Sphingomonas gotjawalisoli,Sphingomonas gotjawalisoli
Sphingomonas guangdongensis,Sphingomonas guangdongensis
Sphingomonas haloaromaticamans,sphingomonas haloaromaticamans
Sphingomonas hankookensis,sphingomonas hankookensis
Sphingomonas hominis,sphingomonas homini
Sphingomonas humi,Sphingomonas humi
Sphingomonas hunanensis,sphingomonas hunanensis
Sphingomonas insulae,sphingomonas insulae
Sphingomonas japonica,Sphingomonas japonica
Sphingomonas jaspsi,Sphingomonas jaspsi
Sphingomonas jatrophae,sphingomonas jatrophae
Sphingomonas jeddahensis,Sphingomonas jeddahensis
Sphingomonas jejuensis,Sphingomonas jejuensis
Sphingomonas jinjuensis,Sphingomonas jinjuensis
Sphingomonas kaistensis,Sphingomonas kaistensis
Sphingomonas koreensis,Sphingomonas koreensis
Sphingomonas kyeonggiensis,Sphingomonas kyeonggiensis
