species,species_lemmatized
Actinomyces gaoshouyii,actinomyce gaoshouyii
Actinomyces gerencseriae,actinomyces gerencseriae
Actinomyces glycerinitolerans,actinomyce glycerinitolerans
Actinomyces graevenitzii,actinomyce graevenitzii
Actinomyces haliotis,actinomyces haliotis
Actinomyces howellii,actinomyce howellii
Actinomyces israelii,actinomyce israelii
Actinomyces johnsonii,actinomyce johnsonii
Actinomyces lilanjuaniae,actinomyce lilanjuaniae
Actinomyces lingnae,actinomyce lingnae
Actinomyces marmotae,actinomyce marmotae
Actinomyces massiliensis,actinomyces massiliensis
Actinomyces naeslundii,actinomyce naeslundii
Actinomyces oralis,actinomyces oralis
Actinomyces oricola,actinomyce oricola
Actinomyces oris,Actinomyces oris
Actinomyces polynesiensis,actinomyces polynesiensis
Actinomyces procaprae,actinomyce procaprae
Actinomyces qiguomingii,actinomyce qiguomingii
Actinomyces radicidentis,actinomyces radicidentis
Actinomyces ruminicola,actinomyce ruminicola
Actinomyces slackii,Actinomyces slackii
Actinomyces sp.,actinomyces sp .
Actinomyces timonensis,actinomyce timonensis
Actinomyces urogenitalis,actinomyce urogenitalis
Actinomyces viscosus,actinomyces viscosus
Actinomyces vulturis,actinomyces vulturis
Actinomyces weissii,actinomyce weissii
Actinomyces wuliandei,actinomyce wuliandei
Actinomycetospora atypica,actinomycetospora atypica
Actinomycetospora callitridis,actinomycetospora callitridis
Actinomycetospora chiangmaiensis,actinomycetospora chiangmaiensis
Actinomycetospora chibensis,actinomycetospora chibensis
Actinomycetospora chlora,actinomycetospora chlora
Actinomycetospora cinnamomea,actinomycetospora cinnamomea
Actinomycetospora corticicola,actinomycetospora corticicola
Actinomycetospora endophytica,actinomycetospora endophytica
Actinomycetospora iriomotensis,actinomycetospora iriomotensis
Actinomycetospora lutea,actinomycetospora lutea
Actinomycetospora rhizophila,actinomycetospora rhizophila
Actinomycetospora rishiriensis,actinomycetospora rishiriensis
Actinomycetospora straminea,actinomycetospora straminea
Actinomycetospora succinea,actinomycetospora succinea
Actinophytocola algeriensis,Actinophytocola algeriensis
Actinophytocola burenkhanensis,Actinophytocola burenkhanensis
Actinophytocola corallina,Actinophytocola corallina
Actinophytocola gilvus,Actinophytocola gilvus
Actinophytocola glycyrrhizae,actinophytocola glycyrrhizae
Actinophytocola oryzae,actinophytocola oryzae
Actinophytocola sediminis,Actinophytocola sediminis
Actinophytocola sp.,actinophytocola sp .
Actinophytocola timorensis,Actinophytocola timorensis
Actinophytocola xanthii,actinophytocola xanthii
Actinophytocola xinjiangensis,actinophytocola xinjiangensis
Actinoplanes abujensis,Actinoplanes abujensis
Actinoplanes arizonaensis,actinoplanes arizonaensis
Actinoplanes atraurantiacus,Actinoplanes atraurantiacus
Actinoplanes auranticolor,actinoplanes auranticolor
Actinoplanes brasiliensis,actinoplanes brasiliensis
Actinoplanes campanulatus,Actinoplanes campanulatus
Actinoplanes capillaceus,actinoplanes capillaceus
Actinoplanes consettensis,actinoplanes consettensis
Actinoplanes couchii,actinoplanes couchii
Actinoplanes cyaneus,actinoplanes cyaneus
Actinoplanes deccanensis,actinoplanes deccanensis
Actinoplanes derwentensis,actinoplanes derwentensis
Actinoplanes deserti,Actinoplanes deserti
Actinoplanes digitatis,actinoplanes digitatis
Actinoplanes durhamensis,actinoplanes durhamensis
Actinoplanes ferrugineus,actinoplanes ferrugineus
Actinoplanes friuliensis,Actinoplanes friuliensis
Actinoplanes garbadinensis,Actinoplanes garbadinensis
Actinoplanes globisporus,Actinoplanes globisporus
Actinoplanes hulinensis,actinoplanes hulinensis
Actinoplanes humidus,actinoplanes humidus
Actinoplanes ianthinogenes,actinoplanes ianthinogenes
Actinoplanes italicus,Actinoplanes italicus
Actinoplanes lichenis,actinoplanes lichenis
Actinoplanes liguriensis,actinoplanes liguriensis
Actinoplanes lobatus,actinoplanes lobatus
Actinoplanes luteus,actinoplanes luteus
Actinoplanes lutulentus,actinoplanes lutulentus
Actinoplanes missouriensis,actinoplanes missouriensis
Actinoplanes nipponensis,actinoplanes nipponensis
Actinoplanes octamycinicus,actinoplanes octamycinicus
Actinoplanes palleronii,actinoplanes palleronii
Actinoplanes philippinensis,actinoplanes philippinensis
Actinoplanes purpeobrunneus,Actinoplanes purpeobrunneus
Actinoplanes ramoplaninifer,actinoplanes ramoplaninifer
Actinoplanes rectilineatus,actinoplanes rectilineatus
Actinoplanes regularis,actinoplanes regularis
Actinoplanes rhizophilus,actinoplanes rhizophilus
Actinoplanes rishiriensis,Actinoplanes rishiriensis
Actinoplanes sediminis,Actinoplanes sediminis
Actinoplanes siamensis,actinoplanes siamensis
Actinoplanes sichuanensis,Actinoplanes sichuanensis
Actinoplanes solisilvae,actinoplanes solisilvae
Actinoplanes sp.,actinoplanes sp .
Actinoplanes subglobosus,actinoplanes subglobosus
Actinoplanes teichomyceticus,actinoplanes teichomyceticus
Actinoplanes tereljensis,Actinoplanes tereljensis
Actinoplanes toevensis,actinoplanes toevensis
Actinoplanes utahensis,Actinoplanes utahensis
Actinoplanes xinjiangensis,actinoplanes xinjiangensis
Actinopolymorpha alba,Actinopolymorpha alba
Actinopolymorpha cephalotaxi,Actinopolymorpha cephalotaxi
Actinopolymorpha pittospori,Actinopolymorpha pittospori
Actinopolymorpha rutila,Actinopolymorpha rutila
Actinopolymorpha singaporensis,Actinopolymorpha singaporensis
Actinopolyspora alba,Actinopolyspora alba
Actinopolyspora algeriensis,actinopolyspora algeriensis
Actinopolyspora biskrensis,actinopolyspora biskrensis
Actinopolyspora erythraea,actinopolyspora erythraea
Actinopolyspora halophila,actinopolyspora halophila
Actinopolyspora lacussalsi,actinopolyspora lacussalsi
Actinopolyspora mortivallis,actinopolyspora mortivallis
Actinopolyspora mzabensis,actinopolyspora mzabensis
Actinopolyspora righensis,actinopolyspora righensis
Actinopolyspora saharensis,actinopolyspora saharensis
Actinopolyspora salinaria,actinopolyspora salinaria
Actinopolyspora sp.,Actinopolyspora sp .
Actinopolyspora xinjiangensis,actinopolyspora xinjiangensis
Actinorectispora indica,actinorectispora indica
Actinorectispora metalli,actinorectispora metalli
Actinorhabdospora filicis,Actinorhabdospora filicis
Actinorugispora endophytica,Actinorugispora endophytica
Actinospica acidiphila,actinospica acidiphila
Actinospica durhamensis,Actinospica durhamensis
Actinospica robiniae,actinospica robiniae
Actinosporangium violaceum,actinosporangium violaceum
Actinosynnema mirum,actinosynnema mirum
Actinosynnema pretiosum,actinosynnema pretiosum
Actinosynnema pretiosum subsp. auranticum,Actinosynnema pretiosum subsp . auranticum
Actinosynnema sp.,actinosynnema sp .
Actinotalea caeni,Actinotalea caeni
Actinotalea fermentans,Actinotalea fermentan
Actinotalea ferrariae,Actinotalea ferrariae
Actinotalea solisilvae,Actinotalea solisilvae
Actinotalea sp.,Actinotalea sp .
