species_names
Actinobacillus succinogenes sp. nov.
Actinobacillus suis
Actinobacillus ureae
Actinobacillus vicugnae
Actinobacillus vicugnae sp. nov.
Actinobaculum massiliense
Actinobaculum sp.
Actinobaculum suis
Actinobaculum timonae
Actinobaculum urinale
Actinobaculum urinale sp. nov.
Actinocatenispora comari
Actinocatenispora comari sp. nov.
Actinocatenispora rupis
Actinocatenispora rupis sp. nov.
Actinocatenispora sera
Actinocatenispora sera sp. nov.
Actinocatenispora thailandica
Actinocatenispora thailandica gen. nov.
Actinocorallia aurantiaca
Actinocorallia aurea
Actinocorallia cavernae
Actinocorallia cavernae sp. nov.
Actinocorallia glomerata
Actinocorallia herbida
Actinocorallia lasiicapitis
Actinocorallia lasiicapitis sp. nov.
Actinocorallia libanotica
Actinocorallia longicatena
Actinocorallia populi
Actinocorallia populi sp. nov.
Actinocrinis puniceicyclus
Actinocrinis puniceicyclus gen. nov.
Actinocrispum wychmicini
Actinocrispum wychmicini gen. nov.
Actinokineospora acnipugnans
Actinokineospora alba
Actinokineospora auranticolor
Actinokineospora baliensis
Actinokineospora baliensis sp. nov.
Actinokineospora bangkokensis
Actinokineospora cianjurensis
Actinokineospora cibodasensis
Actinokineospora diospyrosa
Actinokineospora enzanensis
Actinokineospora fastidiosa
Actinokineospora globicatena
Actinokineospora guangxiensis
Actinokineospora guangxiensis sp. nov.
Actinokineospora inagensis
Actinokineospora mzabensis
Actinokineospora pegani
Actinokineospora pegani sp. nov.
Actinokineospora riparia
Actinokineospora soli
Actinokineospora soli sp. nov.
Actinokineospora sp.
Actinokineospora spheciospongiae
Actinokineospora spheciospongiae sp. nov.
Actinokineospora terrae
Actinomadura adrarensis
Actinomadura adrarensis sp. nov.
Actinomadura alba
Actinomadura alba sp. nov.
Actinomadura algeriensis
Actinomadura alkaliterrae
Actinomadura apis
Actinomadura apis sp. nov.
Actinomadura atramentaria
Actinomadura bangladeshensis
Actinomadura bangladeshensis sp. nov.
Actinomadura barringtoniae
Actinomadura barringtoniae sp. nov.
Actinomadura catellatispora
Actinomadura catellatispora sp. nov.
Actinomadura chibensis
Actinomadura chokoriensis
Actinomadura citrea
Actinomadura coerulea
Actinomadura craniellae
Actinomadura craniellae sp. nov.
Actinomadura cremea
Actinomadura darangshiensis
Actinomadura darangshiensis sp. nov.
Actinomadura decatromicini
Actinomadura deserti
Actinomadura deserti sp. nov.
Actinomadura fibrosa
Actinomadura fibrosa sp. nov.
Actinomadura flavalba
Actinomadura flavalba sp. nov.
Actinomadura formosensis
Actinomadura fulvescens
Actinomadura gamaensis
Actinomadura geliboluensis
Actinomadura geliboluensis sp. nov.
Actinomadura glauciflava
Actinomadura hallensis
Actinomadura hallensis sp. nov.
Actinomadura harenae
Actinomadura harenae sp. nov.
Actinomadura hibisca
Actinomadura jiaoheensis
Actinomadura keratinilytica
Actinomadura keratinilytica sp. nov.
Actinomadura kijaniata
Actinomadura latina
Actinomadura litoris
Actinomadura litoris sp. nov.
Actinomadura livida
Actinomadura logoneensis
Actinomadura logoneensis sp. nov.
Actinomadura luteofluorescens
Actinomadura macra
Actinomadura macra sp. nov.
Actinomadura madurae
Actinomadura maheshkhaliensis
Actinomadura meridiana
Actinomadura meridiana sp. nov.
Actinomadura mexicana
Actinomadura meyerae
Actinomadura miaoliensis
Actinomadura miaoliensis sp. nov.
Actinomadura montaniterrae
Actinomadura montaniterrae sp. nov.
Actinomadura namibiensis
Actinomadura namibiensis sp. nov.
Actinomadura napierensis
Actinomadura napierensis sp. nov.
Actinomadura nitritigenes
Actinomadura nitritigenes sp. nov.
Actinomadura oligospora
Actinomadura oligospora sp. nov.
Actinomadura pelletieri
Actinomadura physcomitrii
Actinomadura rayongensis
Actinomadura rayongensis sp. nov.
Actinomadura rhizosphaerae
Actinomadura rhizosphaerae sp. nov.
Actinomadura rifamycini
Actinomadura roseirufa
Actinomadura roseirufa sp. nov.
Actinomadura rubrisoli
Actinomadura rubteroloni
Actinomadura rubteroloni sp. nov.
Actinomadura rudentiformis
Actinomadura rudentiformis sp. nov.
Actinomadura rugatobispora
Actinomadura rupiterrae
Actinomadura rupiterrae sp. nov.
Actinomadura scrupuli
Actinomadura scrupuli sp. nov.
Actinomadura sediminis
Actinomadura sediminis sp. nov.
Actinomadura soli
Actinomadura soli sp. nov.
Actinomadura sp.
Actinomadura sporangiiformans
Actinomadura sputi
Actinomadura sputi sp. nov.
Actinomadura syzygii
Actinomadura syzygii sp. nov.
Actinomadura verrucosospora
Actinomadura vinacea
Actinomadura violacea
Actinomadura violacea sp. nov.
Actinomadura viridilutea
Actinomadura viridis
Actinomadura xylanilytica
Actinomadura yumaensis
Actinomadura yumaensis sp. nov.
Actinomarinicola tropica
Actinomarinicola tropica gen. nov.
Actinomyces bouchesdurhonensis
Actinomyces bovis
Actinomyces bowdenii
Actinomyces bowdenii sp. nov.
Actinomyces canis
Actinomyces canis sp. nov.
Actinomyces catuli
Actinomyces catuli sp. nov.
Actinomyces coleocanis
Actinomyces coleocanis sp. nov.
Actinomyces dentalis
Actinomyces dentalis sp. nov.
Actinomyces denticolens
Actinomyces europaeus
Actinomyces europaeus sp. nov.
Actinomyces funkei
Actinomyces funkei sp. nov.
Actinomyces gaoshouyii
Actinomyces gaoshouyii sp. nov.
Actinomyces georgiae
Actinomyces georgiae sp. nov.
Actinomyces gerencseriae
Actinomyces glycerinitolerans
Actinomyces graevenitzii
Actinomyces graevenitzii sp. nov.
Actinomyces haliotis
Actinomyces haliotis sp. nov.
Actinomyces hominis
Actinomyces hominis sp. nov.
Actinomyces hordeovulneris
Actinomyces hordeovulneris sp. nov.
Actinomyces howellii
Actinomyces israelii
Actinomyces johnsonii
Actinomyces lilanjuaniae
Actinomyces lilanjuaniae sp. nov.
Actinomyces lingnae
Actinomyces liubingyangii
Actinomyces liubingyangii sp. nov.
Actinomyces marimammalium
Actinomyces marimammalium sp. nov.
Actinomyces marmotae
Actinomyces marmotae sp. nov.
Actinomyces massiliensis
Actinomyces massiliensis sp. nov.
Actinomyces meyeri
Actinomyces meyeri sp. nov.
Actinomyces naeslundii
Actinomyces nasicola
Actinomyces nasicola sp. nov.
Actinomyces oralis
Actinomyces oricola
Actinomyces oricola sp. nov.
Actinomyces oris
Actinomyces polynesiensis
Actinomyces procaprae
Actinomyces qiguomingii
Actinomyces qiguomingii sp. nov.
Actinomyces radicidentis
Actinomyces ruminicola
Actinomyces ruminicola sp. nov.
Actinomyces slackii
Actinomyces slackii sp. nov.
Actinomyces sp.
Actinomyces suimastitidis
Actinomyces suimastitidis sp. nov.
Actinomyces tangfeifanii
Actinomyces tangfeifanii sp. nov.
Actinomyces timonensis
Actinomyces timonensis sp. nov.
Actinomyces urogenitalis
Actinomyces vaccimaxillae
Actinomyces vaccimaxillae sp. nov.
Actinomyces viscosus
Actinomyces vulturis
Actinomyces vulturis sp. nov.
Actinomyces weissii
Actinomyces weissii sp. nov.
Actinomyces wuliandei
Actinomyces wuliandei sp. nov.
Actinomycetospora atypica
Actinomycetospora callitridis
Actinomycetospora chiangmaiensis
Actinomycetospora chiangmaiensis gen. nov.
Actinomycetospora chibensis
Actinomycetospora chlora
Actinomycetospora cinnamomea
Actinomycetospora corticicola
Actinomycetospora endophytica
Actinomycetospora endophytica sp. nov.
Actinomycetospora iriomotensis
Actinomycetospora lutea
Actinomycetospora rhizophila
Actinomycetospora rhizophila sp. nov.
Actinomycetospora rishiriensis
Actinomycetospora rishiriensis sp. nov.
Actinomycetospora straminea
Actinomycetospora succinea
Actinophytocola algeriensis
Actinophytocola algeriensis sp. nov.
Actinophytocola burenkhanensis
Actinophytocola burenkhanensis sp. nov.
Actinophytocola corallina
Actinophytocola gilvus
Actinophytocola gilvus sp. nov.
Actinophytocola glycyrrhizae
Actinophytocola glycyrrhizae sp. nov.
Actinophytocola oryzae
Actinophytocola oryzae gen. nov.
Actinophytocola sediminis
Actinophytocola sediminis sp. nov.
Actinophytocola sp.
Actinophytocola timorensis
Actinophytocola timorensis sp. nov.
Actinophytocola xanthii
Actinophytocola xanthii sp. nov.
Actinophytocola xinjiangensis
Actinophytocola xinjiangensis sp. nov.
Actinoplanes abujensis
Actinoplanes abujensis sp. nov.
Actinoplanes arizonaensis
Actinoplanes atraurantiacus
Actinoplanes atraurantiacus sp. nov.
Actinoplanes auranticolor
Actinoplanes brasiliensis
Actinoplanes caeruleus
Actinoplanes caeruleus sp. nov.
Actinoplanes campanulatus
Actinoplanes capillaceus
Actinoplanes consettensis
Actinoplanes couchii
Actinoplanes couchii sp. nov.
Actinoplanes cyaneus
Actinoplanes deccanensis
Actinoplanes derwentensis
Actinoplanes deserti
Actinoplanes digitatis
Actinoplanes durhamensis
Actinoplanes ferrugineus
Actinoplanes flavus
Actinoplanes flavus sp. nov.
Actinoplanes friuliensis
Actinoplanes garbadinensis
Actinoplanes globisporus
Actinoplanes hulinensis
Actinoplanes humidus
Actinoplanes ianthinogenes
Actinoplanes italicus
Actinoplanes lichenicola
Actinoplanes lichenicola sp. nov.
Actinoplanes lichenis
Actinoplanes lichenis sp. nov.
Actinoplanes liguriensis
Actinoplanes liguriensis sp. nov.
Actinoplanes lobatus
Actinoplanes luteus
Actinoplanes luteus sp. nov.
Actinoplanes lutulentus
Actinoplanes lutulentus sp. nov.
Actinoplanes missouriensis
Actinoplanes nipponensis
Actinoplanes octamycinicus
Actinoplanes palleronii
Actinoplanes philippinensis
Actinoplanes purpeobrunneus
Actinoplanes ramoplaninifer
Actinoplanes rectilineatus
Actinoplanes regularis
Actinoplanes rhizophilus
Actinoplanes rhizophilus sp. nov.
Actinoplanes rishiriensis
Actinoplanes sediminis
Actinoplanes sediminis sp. nov.
Actinoplanes siamensis
Actinoplanes sichuanensis
Actinoplanes sichuanensis sp. nov.
Actinoplanes solisilvae
Actinoplanes sp.
Actinoplanes subglobosus
Actinoplanes subglobosus sp. nov.
Actinoplanes teichomyceticus
Actinoplanes tereljensis
Actinoplanes toevensis
Actinoplanes toevensis sp. nov.
Actinoplanes tropicalis
Actinoplanes tropicalis sp. nov.
Actinoplanes utahensis
Actinoplanes xinjiangensis
Actinopolymorpha alba
Actinopolymorpha alba sp. nov.
Actinopolymorpha cephalotaxi
